Sentence,Sentiment,Translated_Sentence,Translated_Sentiment
"During the past 10 years the factory has produced many of Nokia 's most popular models including the Nokia 2760 , the Nokia 6300 as well as Nokia 's latest music device the Nokia 5800 Express Music .",neutral,"Durante os últimos 10 anos, a fábrica produziu muitos dos modelos mais populares da Nokia, incluindo o Nokia 2760, o Nokia 6300, bem como o mais recente dispositivo musical da Nokia, o Nokia 5800 Express Music.",neutro
"STX Finland Oy signed a a preliminary agreement for the building of an environmentally friendly , new generation cruise ferry for Viking Line to manage on between Turku , Finland , and Stockholm , Sweden withViking Line ABP .",positive,"A STX Finland Oy assinou um acordo preliminar para a construção de uma balsa de cruzeiro de nova geração ecologicamente correta para a Viking Line operar entre Turku, na Finlândia, e Estocolmo, na Suécia, com a Viking Line ABP.",positivo
The rebuilds are designed to improve the machines ' performance and product quality .,positive,As reformas são projetadas para melhorar o desempenho das máquinas e a qualidade do produto.,positivo
"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 .",neutral,"O lucro operacional, excluindo itens não recorrentes, totalizou 2,2 milhões de euros, abaixo dos 2,7 milhões de euros no período correspondente de 2008.",neutro
"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .",neutral,"O ágio e outros ativos intangíveis representam cerca de 2,0 milhões de euros (US$ 2,6 milhões) do preço de compra, 20% dos quais pagáveis ​​em ações da Aspo.",neutro
"The center offers a comprehensive range of device design services spanning from electronics , mechanics and software design to a full range of testing laboratory services .",neutral,"O centro oferece uma ampla gama de serviços de design de dispositivos, abrangendo desde projetos eletrônicos, mecânicos e de software até uma gama completa de serviços de laboratório de testes.",neutro
The orders are part of a long-term development plan of Latvijas Finieris .,neutral,As encomendas fazem parte de um plano de desenvolvimento de longo prazo da Latvijas Finieris.,neutro
Goodwin not to face Scottish prosecution over RBS,positive,Goodwin não enfrentará processo escocês por causa do RBS,positivo
Reported operating margin was a negative 5.9 % .,neutral,"A margem operacional reportada foi negativa em 5,9%.",neutro
Mformation provides enhanced management of these applications by enabling configuration and control throughout their lifecycle .,neutral,"O Mformation fornece gerenciamento aprimorado desses aplicativos, permitindo configuração e controle durante todo o seu ciclo de vida.",neutro
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,positive,A TeliaSonera TLSN disse que a oferta está em linha com a sua estratégia de aumentar a sua participação em participações comerciais principais e fortaleceria a oferta da Eesti Telekom aos seus clientes.,positivo
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",neutral,"O relatório traça o perfil de 614 empresas, incluindo muitos participantes importantes e de nicho em todo o mundo, como Black & Decker Corporation, Fiskars Corporation, Fiskars Brands, Inc., Husqvarna Outdoor Products Inc., K+S Group, Ryobi Technologies, Inc., The Scotts Miracle-Gro Empresa e Van Group, Inc.",neutro
No decision on such sale of the now issued or existing treasury shares to YA Global has been made yet .,neutral,Nenhuma decisão sobre a venda das ações em tesouraria agora emitidas ou existentes para a YA Global foi tomada ainda.,neutro
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",negative,"A rentabilidade ( EBIT % ) foi de 13,6 % , em comparação com 14,3 % no segundo trimestre de 2009 .",negativo
"The fourth quarter saw Rapala swing back to a pretax profit of 1.5 mln eur from a year earlier loss of 1.2 mln on the back of a 30 pct uplift in sales to 44.8 mln eur , and a stronger performance in North America .",positive,"O quarto trimestre viu a Rapala regressar a um lucro antes de impostos de 1,5 milhões de euros, face à perda de 1,2 milhões do ano anterior, suportada por um aumento de 30 por cento nas vendas, para 44,8 milhões de euros, e por um desempenho mais forte na América do Norte.",positivo
A huge issue for us is the button placement .,neutral,Um grande problema para nós é o posicionamento dos botões.,neutro
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",positive,"Hammerson, JV Partner garante propriedade da Dundrum da Irlanda - Fatos rápidos",positivo
"After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540 .",neutral,"Após o desdobramento, o número de ações K será de 9.540.000 e o número de ações A de 26.885.540.",neutro
"Notable gainers among liquid option names this morning include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%),",positive,"Os ganhadores notáveis ​​entre os nomes de opções líquidas esta manhã incluem $STX (+7,0%), $NEM (+4,6%), $WDC (+4,2%), $X (+4,1%) e $GME (+3,4%),",positivo
Locked in some $FB puts for nice gain,negative,Trancado em algumas opções de venda de $ FB para um bom ganho,negativo
"In the Baltic countries , development of operations and reorganisation continued , and non-recurring items related to the takeover process lowered earnings .",neutral,"Nos países bálticos, o desenvolvimento das operações e a reorganização continuaram, e os itens não recorrentes relacionados com o processo de aquisição reduziram os lucros.",neutro
"The equipment will be made at Vaahto 's plant in Hollola in Finland , and delivery is scheduled for the first quarter of 2009 .",neutral,"Os equipamentos serão fabricados na fábrica da Vaahto em Hollola, na Finlândia, e a entrega está prevista para o primeiro trimestre de 2009.",neutro
"According to Gallup Food and Farm Facts , beef consumption totaled 99mn kilos in Finland in 2007 .",neutral,"De acordo com o Gallup Food and Farm Facts , o consumo de carne bovina totalizou 99 milhões de quilos na Finlândia em 2007 .",neutro
The profit after taxes was EUR 57.7 11.1 million .,neutral,"O lucro após impostos foi de 57,7 11,1 milhões de euros.",neutro
Passenger volumes rose by 8.4 % in the accounting period .,positive,"O volume de passageiros aumentou 8,4% no período contabilístico.",positivo
"The board machine , which will have a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day .",neutral,"A máquina de cartão, que terá largura de fio de 6,25 m e velocidade projetada de 900 m-min, produzirá cerca de 1.400 toneladas de papelão dobrável por dia.",neutro
in Finland Finnish pharmaceutical company Orion Corporation OMX Helsinki : ORNAV said on Wednesday 7 January that it has concluded its personnel negotiations in Finland and will reduce the number of personnel by 205 .,negative,"na Finlândia A empresa farmacêutica finlandesa Orion Corporation OMX Helsínquia : A ORNAV disse na quarta - feira , 7 de Janeiro , que concluiu as suas negociações de pessoal na Finlândia e reduzirá o número de funcionários em 205 .",negativo
"Taking a cue from the playbook of the East Dillon Lions , we 've created a special team of heavy-hitting style players , such as boot-cut jeans , tummy tops and , of course , cowboy boots .",neutral,"Seguindo a sugestão do manual do East Dillon Lions, criamos uma equipe especial de jogadores de estilo pesado, como jeans com corte de bota, tops de barriga e, claro, botas de cowboy.",neutro
$FB (110.20) is starting to show some relative strength and signs of potential B/O on the daily.,positive,"$FB (110,20) está começando a mostrar alguma força relativa e sinais de potencial B/O no diário.",positivo
"In April 2010 , Olvi 's range of ciders will expand with a strawberry-rhubarb and an apple-pear cider in green bottles with a new shape .",neutral,"Em abril de 2010, a linha de sidras da Olvi será ampliada com uma cidra de morango-ruibarbo e uma cidra de maçã-pêra em garrafas verdes com novo formato.",neutro
"Jensen , Njastein and Mike Critch , the head of Dovre North America business unit , will report to Toivola .",neutral,"Jensen, Njastein e Mike Critch, chefe da unidade de negócios da Dovre América do Norte, reportarão a Toivola.",neutro
Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,negative,Mineiros derretem enquanto a BHP afunda a Rio Tinto na rota das commodities,negativo
An appeal concerning the project has been lodged at the Czech Ministry of the Environment .,neutral,Foi interposto um recurso relativo ao projecto junto do Ministério do Ambiente checo.,neutro
energy still failing to close above the 10D MA.  continues to stand out weak $XLE,negative,energia ainda não conseguiu fechar acima do 10D MA.  continua se destacando fraco $XLE,negativo
"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 .",negative,"De acordo com o registo comercial da Letónia , a Uponor Letónia fechou no vermelho com LVL 99 000 EUR 139 538,17 USD 194 556,48 num volume de negócios de LVL 2 346 milhões em 2009 .",negativo
$aapl.  Test the high today and probably go beyond after hours...,positive,$aapl.  Teste a alta hoje e provavelmente vá além depois do expediente...,positivo
The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,positive,"As ações subiram pelo terceiro dia na terça-feira, elevando sua alta de três dias para GBX 10,50 ou 1,8%.",positivo
$SBUX downgraded to neutral at Deutsche Bank. Price target reduced to $64 from $70.,negative,$SBUX rebaixado para neutro no Deutsche Bank. Preço-alvo reduzido de US$ 70 para US$ 64.,negativo
"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.",positive,"$KGC http://stks.co/3Qta Sobrevenda, cunha descendente e divergência positiva colocam-no na plataforma de lançamento; procurando um salto.",positivo
"Finnish publisher Alma Media ( HEL : ALN1V ) said Wednesday it has decided to further extend its EUR1 .85 ( USD2 .75 ) apiece mandatory tender offer for media group Talentum ( HEL : TTM1V ) , which started on 19 August , until 16 November .",neutral,"A editora finlandesa Alma Media (HEL:ALN1V) disse na quarta-feira que decidiu estender ainda mais sua oferta pública obrigatória de EUR 1,85 (US$ 2,75) cada para o grupo de mídia Talentum (HEL:TTM1V), que começou em 19 de agosto, até 16 de novembro.",neutro
"Tyrv+ñinen is of the opinion that the airline has been repeating this for some time already , however .",neutral,Tyrv+ñinen é de opinião que a companhia aérea já repete isso há algum tempo.,neutro
$ROST Ross Stores Upgraded to Outperform at RBC Capital Markets http://stks.co/j0Q9t,positive,Lojas $ROST Ross atualizadas para desempenho superior na RBC Capital Markets http://stks.co/j0Q9t,positivo
AB InBev approaches SABMiller to explore $250bn tie-up,positive,AB InBev aborda SABMiller para explorar parceria de US$ 250 bilhões,positivo
"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland .",neutral,"O Sindicato Finlandês dos Trabalhadores da Alimentação, SEL, planeia acelerar a sua negociação colectiva com uma greve de dois dias que teria início em 7 de Abril de 2010, na Finlândia.",neutro
"Its customers include local companies Slo Oy , Kiilto Oy , Toptronics Oy , Normark Suomi Oy , Pellonpaja Oy and Mansner Oy .",neutral,"Seus clientes incluem as empresas locais Slo Oy, Kiilto Oy, Toptronics Oy, Normark Suomi Oy, Pellonpaja Oy e Mansner Oy.",neutro
The number of customers is one of the most important parameters in determining the price of electricity networks .,neutral,O número de clientes é um dos parâmetros mais importantes na determinação do preço das redes eléctricas.,neutro
"$RIG whos ever pushing this is crazy, get ready for suspended dividend (turning into growth stock) blow out earnings, and major buyback, lol",neutral,"$RIG, quem está pressionando isso é uma loucura, prepare-se para dividendos suspensos (transformando-se em ações de crescimento), estourando os lucros e uma grande recompra, haha",neutro
"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us",neutral,"$HAL Se os touros tiverem sorte suficiente para preencher a lacuna de alta, é melhor aceitá-la. Não iria persegui-lo aqui. http://stks.co/r12Us",neutro
"Vanhanen said the strike would be `` extremely damaging '' as some 1,300 participants and reporters begin to arrive in Finland for the one-day EU summit with Russian President Vladimir Putin in Lahti , about 100 kilometers ( 60 miles ) north of Helsinki .",negative,"Vanhanen disse que o ataque seria “extremamente prejudicial”, já que cerca de 1.300 participantes e repórteres começam a chegar à Finlândia para a cimeira de um dia da UE com o presidente russo, Vladimir Putin, em Lahti, cerca de 100 quilómetros (60 milhas) a norte de Helsínquia.",negativo
These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,positive,Estas alterações moderadas mas significativas resultaram numa redução significativa de 24-32% no risco estimado de DCV.,positivo
Sales of mid-strength beer decreased by 40 % .,negative,As vendas de cerveja de concentração média diminuíram 40%.,negativo
F-Secure Online Backup automatically protects all the content stored on a computer or smartphone by making a copy of the content to an online location .,neutral,"O F-Secure Online Backup protege automaticamente todo o conteúdo armazenado em um computador ou smartphone, fazendo uma cópia do conteúdo para um local online.",neutro
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",neutral,"Os revendedores disseram que a ação foi amplamente atingida pela decepção dos investidores com uma margem de refino de apenas 9,48 dólares por barril no trimestre e pelo desempenho de sua unidade de transporte, que viu o EBIT cair de 20 milhões de euros por ano para 5 milhões de euros em meio a uma queda nos volumes. e taxas de petroleiros.",neutro
"The long-standing partnership and commitment enable both parties to develop their respective operations , and ESL Shipping will also have the opportunity to update its fleet and improve its efficiency .",positive,"A parceria e o compromisso de longa data permitem que ambas as partes desenvolvam as respetivas operações, e a ESL Shipping também terá a oportunidade de atualizar a sua frota e melhorar a sua eficiência.",positivo
"Nokia bought Chicago-based Navteq in 2008 , acquiring a maps database to compete with Google s maps as well as with navigation device companies such as TomTom NV and Garmin Ltd. .",positive,"A Nokia comprou a Navteq, com sede em Chicago, em 2008, adquirindo um banco de dados de mapas para competir com os mapas do Google, bem como com empresas de dispositivos de navegação como TomTom NV e Garmin Ltd.",positivo
Finnlines has six ships under construction in China with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 .,neutral,A Finnlines tem seis navios em construção na China com entregas programadas entre o primeiro trimestre de 2011 e o último trimestre de 2012.,neutro
Elektrobit ( EB ) has renewed its IT infrastructure contract with ICT services provider Fujitsu Services for EB 's Patja service .,positive,A Elektrobit (EB) renovou o seu contrato de infra-estrutura de TI com o fornecedor de serviços de TIC Fujitsu Services para o serviço Patja da EB.,positivo
"The core of Solidium 's investment strategy is proper , value enhancing asset management of the current holdings .",positive,O núcleo da estratégia de investimento da Solidium é a gestão adequada e de valorização dos activos das actuais participações.,positivo
"Finnish steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago .",positive,"A siderúrgica finlandesa Rautaruukki Oyj (HEL: RTRKS), ou Ruukki, disse hoje que seu prejuízo líquido diminuiu para 49 milhões de euros (68,2 milhões de dólares) nos primeiros nove meses de 2010, contra 229 milhões de euros no mesmo período do ano anterior.",positivo
The commission said the hydrogen peroxide and PBS market was worth about 470 million euros in 2000 .,neutral,A comissão afirmou que o mercado do peróxido de hidrogénio e do PBS valia cerca de 470 milhões de euros em 2000 .,neutro
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",positive,ATUALIZAÇÃO: Número de passageiros da EasyJet e tráfego da Aer Lingus aumentam em fevereiro,positivo
"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .",negative,"O lucro operacional para o período de 12 meses diminuiu de 17,9 milhões de euros, enquanto as vendas líquidas aumentaram de 58,3 milhões de euros, em comparação com 2007.",negativo
facades in Riga 8 March 2010 - Finnish construction company YIT Oyj HEL : YTY1V said today that it will build the frame and the facades in a tower construction project in Riga .,neutral,fachadas em Riga 8 de março de 2010 - A construtora finlandesa YIT Oyj HEL: YTY1V disse hoje que construirá a estrutura e as fachadas de um projeto de construção de torre em Riga.,neutro
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,positive,Bunzl aumenta dividendos novamente à medida que as aquisições continuam a aumentar os lucros,positivo
"Operating profit surged to EUR21m from EUR106 ,000 .",positive,O lucro operacional subiu de 106.000 euros para 21 milhões de euros.,positivo
Nordea 's chairman of the board Hans Dalborg has informed the nomination committee that he will not be up for re-election at the Annual General Meeting in 2011 .,neutral,"O presidente do conselho de administração da Nordea, Hans Dalborg, informou ao comité de nomeação que não será candidato à reeleição na Assembleia Geral Anual de 2011.",neutro
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .",negative,"A cervejaria Bielorrussa OAO Lidskoe Pivo, com sede na região de Grodno, relatou uma diminuição de 1,1% na produção, para 1,045 milhão de decalitros, entre janeiro e março de 2010, disse um representante da administração da empresa.",negativo
$ASTX Daily technical indicators are bullish. Breakout watch over 4.58  http://stks.co/eOvw,positive,"Os indicadores técnicos diários do $ASTX são otimistas. Observação de fuga acima de 4,58 http://stks.co/eOvw",positivo
The contract has been allotted as per lowest price criteria .,neutral,O contrato foi distribuído de acordo com critérios de preço mais baixo.,neutro
A high court in Finland has fined seven local asphalt companies more than   lion ( $ 117 million ) for operating a cartel .,neutral,Um tribunal superior da Finlândia multou sete empresas locais de asfalto em mais de um leão (117 milhões de dólares) por operarem um cartel.,neutro
"Sales are expected to increase in the end of the year 2006 , however .",positive,"No entanto, espera-se que as vendas aumentem no final do ano de 2006.",positivo
"The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 .",neutral,"Os contratos dos funcionários, dos quais 96 são operários, serão encerrados entre março e agosto de 2011.",neutro
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,negative,A baixa taxa de utilização da capacidade na produção de aço aumenta consideravelmente os custos fixos por unidade de aço produzida.,negativo
The groups 's turnover for the full fiscal year is expected to show a slight increase from the previous fiscal year .,positive,Espera-se que o volume de negócios do grupo durante todo o ano fiscal apresente um ligeiro aumento em relação ao ano fiscal anterior.,positivo
"Operating profit decreased to nearly EUR 1.7 mn , however .",neutral,"No entanto, o lucro operacional diminuiu para quase 1,7 milhões de euros.",neutro
Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .,positive,A Kalmar da Cargotec finlandesa recebeu uma encomenda significativa do Departamento de Defesa dos EUA.,positivo
"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .",negative,"O lucro por acção (EPS) ascendeu a 1,37 euros, abaixo dos 2,30 euros.",negativo
$brcm raises revenue forecast,positive,$brcm aumenta previsão de receita,positivo
( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . ),neutral,(Um porta-voz disse ao WWD que espera uma mistura 50-50 de roupas e decoração para casa.),neutro
"`` Nokia 's Calling All Innovators Africa competition has been specifically launched to enable developers to create locally relevant , best-of-breed mobile applications . ''",positive,``A competição Calling All Innovators Africa da Nokia foi lançada especificamente para permitir que os desenvolvedores criem aplicativos móveis de melhor qualidade e relevantes localmente. '',positivo
Net sales surged by 30 % to EUR 36 million .,positive,As vendas líquidas aumentaram 30% para 36 milhões de euros.,positivo
"The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .",neutral,A autorização vigora até ao final da próxima Assembleia Geral Anual e revoga a autorização para aquisição de acções próprias dada pela Assembleia Geral realizada em 4 de Abril de 2007.,neutro
"Poyry 's contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services .",neutral,"O contrato de Poyry inclui gerenciamento de engenharia, serviços de engenharia civil e detalhada, além de serviços de agendamento e aquisição.",neutro
"The value of the order is EUR 700,000 .",neutral,O valor da encomenda é de 700.000 euros.,neutro
"The company operates its business through two reportable segments , including Banking and Investment Services , and Non-Life Insurance .",neutral,"A empresa opera seus negócios por meio de dois segmentos reportáveis, incluindo Serviços Bancários e de Investimento e Seguros Não Vida.",neutro
"The order includes a new Crecent former , headbox , and reel .",neutral,"O pedido inclui um novo formador, caixa de entrada e carretel Crecent.",neutro
The combined value of the planned investments is about EUR 30mn .,neutral,O valor combinado dos investimentos planeados é de cerca de 30 milhões de euros.,neutro
The following information was released by Comptel : Tomorrow the Chairman of the Federal Communications Commission is scheduled to deliver the National Broadband Plan to Congress .,neutral,A seguinte informação foi divulgada pela Comptel: Amanhã o Presidente da Comissão Federal de Comunicações deverá entregar ao Congresso o Plano Nacional de Banda Larga.,neutro
"Operating profit of operations in Finland in the period under review totaled EUR 11.3 mn , remaining at the 2005 level .",neutral,"O lucro operacional das operações na Finlândia no período em análise totalizou 11,3 milhões de euros, mantendo-se ao nível de 2005.",neutro
"M-real Corporation Press release on 3 November at 10:35 am M-real Corporation was the second best company in the materials sector including e.g. forest industry companies in the Carbon Disclosure Leadership Index CDLI , Nordic Report 2009 .",positive,"M-real Corporation Comunicado de imprensa em 3 de novembro às 10h35 A M-real Corporation foi a segunda melhor empresa no setor de materiais, incluindo, por exemplo. empresas da indústria florestal no Carbon Disclosure Leadership Index CDLI , Nordic Report 2009 .",positivo
Ingen is an established medical device manufacturer with an emerging new medical product line for the respiratory market worth an estimated $ 4 billion in the U.S. and $ 8 billion globally .,neutral,A Ingen é um fabricante estabelecido de dispositivos médicos com uma nova linha emergente de produtos médicos para o mercado respiratório avaliada em cerca de US$ 4 bilhões nos EUA e US$ 8 bilhões em todo o mundo.,neutro
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",neutral,"O prejuízo operacional totalizou 0,8 milhões de euros, em comparação com um lucro de 0,5 milhões de euros.",neutro
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will give notice to 20 productional employees , and temporarily lay off 15 employees at the company 's plant in Sievi , in Finland .",negative,"A Scanfil, fornecedora de sistemas e fabricante contratada para o setor de comunicações, notificará 20 funcionários de produção e demitirá temporariamente 15 funcionários na fábrica da empresa em Sievi, na Finlândia.",negativo
Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % .,neutral,"O grupo Alfa terá 43,9% do capital votante da nova empresa e a Telenor 35,4% com um free float de 20,7%.",neutro
Kingfisher share price slides on cost to implement new strategy,negative,O preço das ações da Kingfisher cai com base no custo para implementar nova estratégia,negativo
Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .,negative,"O lucro antes de impostos diminuiu para 31,6 milhões de euros, face aos 50,0 milhões de euros do ano anterior.",negativo
"8,600 m , and at the time of investment it is fully leased to several tenants .",neutral,"8.600 m2, e no momento do investimento encontra-se totalmente arrendado a vários inquilinos.",neutro
"The company is owned by the State of Finland and the European Aeronautic Defense and Space Company EADS N.V. Tekla is an international software company that provides solutions for building and construction , energy distribution and municipalities .",neutral,"A empresa é propriedade do Estado da Finlândia e da Empresa Europeia de Defesa Aeronáutica e Espacial EADS N.V. Tekla é uma empresa internacional de software que fornece soluções para construção, distribuição de energia e municípios.",neutro
$CSX another strong rail today after breaking intraday resistance at 1$9.80 https://t.co/eA4FBVuqGP,positive,"$CSX outro trilho forte hoje depois de quebrar a resistência intradiária em 1$9,80 https://t.co/eA4FBVuqGP",positivo
"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces .",neutral,"Uma unidade de processamento de dados coleta os dados, calcula os valores RVR e fornece os dados aos usuários através de diversas interfaces.",neutro
"In addition to Russia , we now seek additional growth in Ukraine .",positive,"Além da Rússia, procuramos agora um crescimento adicional na Ucrânia.",positivo
The aim is to increase sales by at least one fifth in 2006 .,positive,O objectivo é aumentar as vendas em pelo menos um quinto em 2006 .,positivo
"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .",neutral,"O Rohwedder Group é um fornecedor de suprimentos automotivos, telecomunicações e indústria eletrônica para clientes na Europa, América do Norte e Ásia.",neutro
"According to HK Ruokatalo , almost all the meat used by the company comes from Finland .",neutral,"Segundo HK Ruokatalo, quase toda a carne utilizada pela empresa vem da Finlândia.",neutro
The number of bodily injury cases quadrupled in 2000-2006 .,neutral,O número de casos de lesões corporais quadruplicou em 2000-2006.,neutro
"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .",neutral,"Na Finlândia, tempestades de neve derrubaram árvores em linhas eléctricas, cortando a electricidade a cerca de 2.000 famílias.",neutro
The acquisition price was not disclosed .,neutral,O preço de aquisição não foi divulgado.,neutro
Scanfil has also issued a profit warning .,neutral,Scanfil também emitiu um alerta de lucro.,neutro
The acquisition is part of Ramirent 's Central and Eastern European growth strategy .,neutral,A aquisição faz parte da estratégia de crescimento da Ramirent na Europa Central e Oriental.,neutro
"UPM said the move will lower net profit by  x20ac 385 million US$ 520 million in the second quarter , mainly due to impairment charges .",negative,"A UPM disse que a mudança reduzirá o lucro líquido em x20ac 385 milhões (US$ 520 milhões) no segundo trimestre, principalmente devido a encargos com redução ao valor recuperável.",negativo
"The poorest index figure was given to Finnish power company Fortum , 4.5 .",neutral,"O índice mais fraco foi atribuído à empresa finlandesa de energia Fortum, 4,5.",neutro
"The company intends to launch housing development at the acquired land plots and to construct 50,000-60 ,000 square metres of housing per annum by 2011 .",neutral,A empresa pretende lançar o desenvolvimento habitacional nos terrenos adquiridos e construir 50.000-60.000 metros quadrados de habitação por ano até 2011 .,neutro
"Seppala transferred the sale to a greater extent than last year to February , and this is reflected on the January sales figures .",neutral,"A Seppala transferiu a venda, em maior medida do que no ano passado, para Fevereiro, e isto reflecte-se nos números de vendas de Janeiro.",neutro
AB InBev ups offer for SABMiller as deadline looms,positive,AB InBev aumenta oferta pela SABMiller à medida que o prazo se aproxima,positivo
"The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 .",negative,"Os contratos dos funcionários, dos quais 96 são operários, serão encerrados entre março e agosto de 2011.",negativo
Stora Enso 's target has been cut to EUR 4.85 from EUR 5.55 and Holmen 's target -- to SEK 135 from SEK 150 .,neutral,"A meta da Stora Enso foi reduzida de 5,55 euros para 4,85 euros, e a meta da Holmen foi reduzida de 150 coroas suecas para 135 coroas suecas.",neutro
"As a condition to the deal , Savcor Alfa has to have bought Photonium and Akseli Lahtinen Inc. 's business operations prior to the deal .",neutral,"Como condição para o acordo, a Savcor Alfa deverá ter comprado as operações comerciais da Photonium e da Akseli Lahtinen Inc. antes do acordo.",neutro
$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,positive,$SPY Não pendure seu chapéu de touro ainda. Na próxima semana aumentaremos a esperança do QE3 após a reunião de 2 dias do Fed.,positivo
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,negative,"O lucro operacional consolidado de operações continuadas diminuiu 62,3 % para 51,2 milhões de euros , de 135,7 milhões de euros em 2007 .",negativo
"The shares shall be repurchased through public trading , for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders .",neutral,"As ações serão recompradas por meio de negociação pública, razão pela qual as ações serão recompradas de outra forma que não na proporção das participações dos acionistas.",neutro
"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",neutral,"A companhia aérea estimou que o cancelamento dos seus voos devido ao encerramento do espaço aéreo europeu e o processo de recomeço do tráfego causaram à empresa uma perda de 20 milhões de euros, incluindo os custos de alojamento dos passageiros retidos.",neutro
"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",positive,A transação duplica a força de trabalho da Tecnomen e acrescenta um quarto às suas vendas líquidas.,positivo
"We warmly welcome him to Satama '' , states Jussi Lansio , chairman of the Board .",positive,"Damos-lhe as boas-vindas à Satama'', afirma Jussi Lansio, presidente do Conselho.",positivo
"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries .",neutral,"O aplicativo Web-Marela gerencia convites para cotações, comparações de cotações, acordos, compras, inspeções de faturas, gerenciamento de estoques e entregas.",neutro
"Cargotec 's brands , Hiab , Kalmar and MacGREGOR , are global market leaders in their fields and their solutions are used on land and at sea - wherever cargo is on the move .",neutral,"As marcas da Cargotec, Hiab, Kalmar e MacGREGOR, são líderes de mercado globais em seus campos e suas soluções são utilizadas em terra e no mar – onde quer que a carga esteja em movimento.",neutro
"L+ñnnen Tehtaat 's Food Division was reorganised into two strategic business units , Apetit Frozen Foods and Jams , and Apetit Fish .",neutral,"A Divisão Alimentar da L+ñnnen Tehtaat foi reorganizada em duas unidades de negócios estratégicas, Apetit Frozen Foods and Jams e Apetit Fish.",neutro
